Date,Open,High,Low,Close,Adj Close,Volume
2016-11-06,647.000000,663.099976,592.000000,639.500000,629.676208,316834
2016-11-13,639.500000,640.000000,589.099976,602.150024,592.899963,425976
2016-11-20,612.000000,663.099976,602.150024,648.900024,638.931824,467788
2016-11-27,649.900024,673.700012,627.049988,630.150024,620.469910,396528
2016-12-04,637.900024,647.799988,617.000000,637.549988,627.756165,149277
2016-12-11,639.950012,647.799988,612.000000,624.950012,615.349792,228748
2016-12-18,626.049988,632.400024,606.599976,614.500000,605.060242,101171
2016-12-25,607.500000,617.349976,588.000000,595.099976,585.958252,229382
2017-01-01,595.000000,613.000000,595.000000,606.599976,597.281616,140486
2017-01-08,609.000000,614.849976,599.000000,601.250000,592.013855,90891
2017-01-15,597.000000,606.400024,590.000000,593.500000,584.382874,118246
2017-01-22,591.099976,600.000000,573.000000,576.750000,567.890137,229650
2017-01-29,571.000000,571.000000,550.500000,558.799988,550.215881,343928
2017-02-05,559.500000,566.000000,551.000000,557.549988,548.985107,207891
2017-02-12,557.549988,562.500000,539.400024,553.000000,544.505005,196758
2017-02-19,558.799988,596.049988,553.049988,577.549988,568.677917,249040
2017-02-26,577.549988,615.400024,564.599976,602.200012,592.949219,385823
2017-03-05,594.549988,648.000000,585.250000,624.400024,614.808228,1054478
2017-03-12,624.400024,633.750000,594.750000,606.450012,597.133972,214037
2017-03-19,617.799988,618.000000,588.099976,602.049988,592.801514,257629
2017-03-26,607.950012,630.000000,584.000000,627.450012,617.811340,291132
2017-04-02,630.000000,638.849976,610.900024,620.900024,611.362000,261282
2017-04-09,633.000000,633.000000,613.900024,626.750000,617.122070,168965
2017-04-16,628.000000,644.000000,603.000000,608.099976,598.758545,448436
2017-04-23,613.900024,634.000000,601.549988,612.349976,602.943298,286111
2017-04-30,612.349976,627.950012,590.000000,592.099976,583.004333,308609
2017-05-07,600.500000,617.950012,584.049988,599.450012,590.241455,236800
2017-05-14,618.950012,618.950012,590.000000,600.349976,591.127625,187756
2017-05-21,610.000000,610.000000,548.000000,558.150024,549.575928,167091
2017-05-28,564.000000,564.000000,526.299988,536.900024,528.652344,392808
